Value Index,EBIN,UBINS,CBINS,MBINS,LBINS,RBINS,ZBINS,YBINS,XBINS,Mean Value,Stat. Error,Mean_E_Norm,Energy (eV),Energy (MeV)
84.0,84.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3897,0.00314,0.11013983713087111,2.47,2.47e-06
85.0,85.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4307,0.00351,0.11047709138767789,2.57,2.5699999999999995e-06
86.0,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4502,0.00408,0.11063749280250063,2.67,2.67e-06
87.0,87.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4725,0.00331,0.11082092621534918,2.77,2.7699999999999997e-06
88.0,88.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3464,0.00298,0.10978366373282883,2.87,2.87e-06
89.0,89.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5256,0.00346,0.11125771160648187,2.97,2.97e-06
90.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.2947,0.00612,0.10935839434070907,3.0,3e-06
91.0,91.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4506,0.00341,0.11064078308793288,3.1,3.1e-06
92.0,92.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4721,0.004,0.11081763592991692,3.2,3.2e-06
93.0,93.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4187,0.00237,0.11037838282471005,3.5,3.5e-06
94.0,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3364,0.00291,0.1097014065970223,3.73,3.73e-06
95.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0757,0.00257,0.10755696306654602,4.1,4.1e-06
96.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.9871,0.00184,0.10682816484330016,4.7,4.7e-06
97.0,97.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.9475,0.00269,0.1065024265855063,5.0,4.9999999999999996e-06
98.0,98.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.9082,0.00212,0.10617915604178664,5.4,5.4e-06
99.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.9059,0.00256,0.10616023690055114,6.0,6e-06
100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.8755,0.00359,0.10591017520769928,6.25,6.2499999999999995e-06
101.0,101.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.8747,0.00314,0.10590359463683476,6.5,6.5e-06
102.0,102.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.7773,0.00298,0.10510241013407914,6.75,6.75e-06
103.0,103.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.7561,0.00525,0.1049280250061693,6.875,6.874999999999999e-06
104.0,104.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.8075,0.00474,0.10535082668421486,7.0,7e-06
105.0,105.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.9486,0.00454,0.10651147487044503,7.15,7.15e-06
106.0,106.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.9645,0.00201,0.10664226371637739,8.1,8.099999999999999e-06
107.0,107.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.8911,0.00207,0.10603849633955746,9.1,9.1e-06
108.0,108.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.8971,0.0023,0.10608785062104138,10.0,9.999999999999999e-06
109.0,109.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.8575,0.00199,0.10576211236324752,11.5,1.15e-05
110.0,110.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.9522,0.00363,0.10654108743933537,11.9,1.19e-05
111.0,111.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.8184,0.00244,0.10544048696224398,12.9,1.29e-05
112.0,112.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.876,0.00223,0.10591428806448959,14.4,1.44e-05
113.0,113.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.8789,0.00176,0.1059381426338735,16.0,1.6e-05
114.0,114.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.8217,0.00287,0.10546763181706013,17.0,1.7e-05
115.0,115.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.9249,0.00227,0.10631652545858353,18.5,1.85e-05
116.0,116.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.8858,0.00289,0.10599490005758,19.4,1.9399999999999997e-05
117.0,117.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.94,0.00327,0.1064407337336514,20.0,1.9999999999999998e-05
118.0,118.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.9856,0.00391,0.10681582627292918,20.5,2.05e-05
119.0,119.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.9983,0.00379,0.10692029283540348,21.2,2.1199999999999997e-05
120.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.4061,0.00433,0.1020490252529407,21.75,2.175e-05
121.0,121.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.4037,0.00311,0.10202928354034714,22.5,2.2499999999999998e-05
122.0,122.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.6984,0.00207,0.1044534013325656,25.0,2.4999999999999998e-05
123.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5589,0.002,0.11153162786871762,27.5,2.7499999999999998e-05
124.0,124.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.6084,0.00229,0.11193880069095995,30.0,2.9999999999999997e-05
125.0,125.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.57,0.00292,0.11162293328946286,31.25,3.125e-05
126.0,126.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5069,0.00484,0.11110389076252365,31.75,3.175e-05
127.0,127.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5686,0.00327,0.11161141729044995,33.25,3.325e-05
128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3809,0.0052,0.11006745085136137,33.75,3.375e-05
129.0,129.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3247,0.00348,0.10960516574812866,35.0,3.5e-05
130.0,130.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5513,0.00429,0.11146911244550466,35.5,3.5499999999999996e-05
131.0,131.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4527,0.00509,0.11065805708645225,36.0,3.6e-05
132.0,132.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3935,0.00389,0.11017109484247758,37.0,3.7e-05
133.0,133.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4503,0.01071,0.1106383153738587,37.13,3.713e-05
134.0,134.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5902,0.00958,0.11178909270379206,37.27,3.727e-05
135.0,135.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4787,0.00567,0.11087192563954924,37.63,3.7630000000000004e-05
136.0,136.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3601,0.00611,0.10989635600888377,38.0,3.7999999999999995e-05
137.0,137.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.397,0.00337,0.11019988484000988,39.1,3.91e-05
138.0,138.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3047,0.00581,0.10944065147651559,39.6,3.96e-05
139.0,139.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4899,0.00329,0.11096405363165256,41.0,4.1e-05
140.0,140.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4552,0.00321,0.11067862137040388,42.4,4.2399999999999994e-05
141.0,141.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4531,0.00348,0.11066134737188452,44.0,4.4e-05
142.0,142.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3589,0.00404,0.10988648515258699,45.2,4.52e-05
143.0,143.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4421,0.0025,0.11057086452249733,48.3,4.8299999999999995e-05
144.0,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4223,0.00307,0.1104079953936004,50.6,5.06e-05
145.0,145.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.455,0.00282,0.11067697622768775,53.4,5.34e-05
146.0,146.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4185,0.00229,0.11037673768199392,58.0,5.8e-05
147.0,147.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.1303,0.00275,0.10800608702804969,61.0,6.1e-05
148.0,148.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5891,0.00361,0.11178004441885335,63.0,6.3e-05
149.0,149.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.4582,0.00294,0.11070329851114584,65.0,6.5e-05
150.0,150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5611,0.00316,0.11154972443859505,67.5,6.75e-05
151.0,151.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.2307,0.00259,0.10883194867154727,72.0,7.2e-05
152.0,152.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.618,0.00263,0.11201776754133422,76.0,7.599999999999999e-05
