Upper Energy (eV),Group No,Upper Energy (MeV),,LethargyW,Total_Flux,Flux,Upper Energy (MeV),,,,,,,,,,Upper Energy (MeV),Flux
1.86,176,1.86E-06,16.19066634,0.049596941,0.00383928,7.74E-02,1.86E-06,,,,,,,,,,0.00024,2.34E-03
1.77,177,1.77E-06,16.24026328,0.052185753,0.00392653,7.52E-02,1.77E-06,,,,,,,,,,0.000285,2.29E-03
1.68,178,1.68E-06,16.29244904,0.055059777,0.00299803,5.45E-02,1.68E-06,,,,,,,,,,0.000305,3.00E-03
1.59,179,1.59E-06,16.34750882,0.058268908,0.00248097,4.26E-02,1.59E-06,,,,,,,,,,0.00055,1.79E-03
1.5,180,1.50E-06,16.40577772,0.033901552,0.00127135,3.75E-02,1.50E-06,,,,,,,,,,0.00067,1.55E-03
1.45,181,1.45E-06,16.43967928,0.03509132,0.00119938,3.42E-02,1.45E-06,,,,,,,,,,0.000683,1.72E-03
1.4,182,1.40E-06,16.47477059,0.036367644,0.00112381,3.09E-02,1.40E-06,,,,,,,,,,0.00095,1.54E-03
1.35,183,1.35E-06,16.51113824,0.037740328,0.00104943,2.78E-02,1.35E-06,,,,,,,,,,0.00115,1.17E-03
1.3,184,1.30E-06,16.54887857,0.039220713,0.000983623,2.51E-02,1.30E-06,,,,,,,,,,0.0015,1.13E-03
1.25,185,1.25E-06,16.58809928,0.020202707,0.000470974,2.33E-02,1.25E-06,,,,,,,,,,0.00155,1.06E-03
1.225,186,1.23E-06,16.60830199,0.020619287,0.00045932,2.23E-02,1.23E-06,,,,,,,,,,0.0018,9.73E-04
1.2,187,1.20E-06,16.62892127,0.021053409,0.000449268,2.13E-02,1.20E-06,,,,,,,,,,0.0022,9.38E-04
1.175,188,1.18E-06,16.64997468,0.021506205,0.000440806,2.05E-02,1.18E-06,,,,,,,,,,0.00225,8.50E-04
1.15,189,1.15E-06,16.67148089,0.00873368,0.000174327,2.00E-02,1.15E-06,,,,,,,,,,0.0025,8.48E-04
1.14,190,1.14E-06,16.68021457,0.00881063,0.000173342,1.97E-02,1.14E-06,,,,,,,,,,0.003,8.07E-04
1.13,191,1.13E-06,16.6890252,0.008888947,0.000172467,1.94E-02,1.13E-06,,,,,,,,,,0.00374,7.48E-04
1.12,192,1.12E-06,16.69791415,0.00896867,0.000171707,1.91E-02,1.12E-06,,,,,,,,,,0.0039,7.08E-04
1.11,193,1.11E-06,16.70688282,0.009049836,0.000171071,1.89E-02,1.11E-06,,,,,,,,,,0.0057,6.33E-04
1.1,194,1.10E-06,16.71593265,0.009132484,0.000170566,1.87E-02,1.10E-06,,,,,,,,,,0.00803,5.56E-04
1.09,195,1.09E-06,16.72506514,0.009216655,0.000170053,1.85E-02,1.09E-06,,,,,,,,,,0.0095,5.10E-04
1.08,196,1.08E-06,16.73428179,0.009302393,0.000169648,1.82E-02,1.08E-06,,,,,,,,,,0.013,4.72E-04
1.07,197,1.07E-06,16.74358418,0.00938974,0.000169398,1.80E-02,1.07E-06,,,,,,,,,,0.017,4.33E-04
1.06,198,1.06E-06,16.75297392,0.009478744,0.000169272,1.79E-02,1.06E-06,,,,,,,,,,0.02,3.91E-04
1.05,199,1.05E-06,16.76245267,0.009569451,0.000169278,1.77E-02,1.05E-06,,,,,,,,,,0.03,4.10E-04
1.04,200,1.04E-06,16.77202212,0.009661911,0.000169408,1.75E-02,1.04E-06,,,,,,,,,,0.045,3.82E-04
1.03,201,1.03E-06,16.78168403,0.009756175,0.000169556,1.74E-02,1.03E-06,,,,,,,,,,0.05,2.35E-04
1.02,202,1.02E-06,16.7914402,0.009852296,0.000169822,1.72E-02,1.02E-06,,,,,,,,,,0.052,2.54E-04
1.01,203,1.01E-06,16.8012925,0.009950331,0.000170252,1.71E-02,1.01E-06,,,,,,,,,,0.06,3.50E-04
1,204,1.00E-06,16.81124283,0.025317808,0.00042849,1.69E-02,1.00E-06,,,,,,,,,,0.073,3.79E-04
0.975,205,9.75E-07,16.83656064,0.025975486,0.000434032,1.67E-02,9.75E-07,,,,,,,,,,0.075,4.00E-04
0.95,206,9.50E-07,16.86253613,0.026668247,0.000441773,1.66E-02,9.50E-07,,,,,,,,,,0.082,4.44E-04
0.925,207,9.25E-07,16.88920437,0.027398974,0.000451709,1.65E-02,9.25E-07,,,,,,,,,,0.085,4.71E-04
0.9,208,9.00E-07,16.91660335,0.057158414,0.000944713,1.65E-02,9.00E-07,,,,,,,,,,0.1,3.15E-04
0.85,209,8.50E-07,16.97376176,0.060624622,0.00102198,1.69E-02,8.50E-07,,,,,,,,,,0.1283,2.76E-04
0.8,210,8.00E-07,17.03438638,0.064538521,0.00113872,1.76E-02,8.00E-07,,,,,,,,,,0.149,3.64E-04
0.75,211,7.50E-07,17.0989249,0.068992871,0.00131777,1.91E-02,7.50E-07,,,,,,,,,,0.2,3.71E-04
