Group No,Upper Energy (eV),Critical Flux,Inf. Med. Flux.,Critical Adj. Flux,Inf. Med. Adj. Flux,E_norm,E_Reverse,C_Reverse,Energy (MeV)
147,8.1,0.002679,0.002679,0.001116,0.001116,0.10707434052757793,0.11131095123900879,0.002785,6.1e-05
148,7.15,0.002671,0.002671,0.006566,0.006566,0.10675459632294165,0.11498800959232613,0.002877,6.3e-05
149,7.0,0.002649,0.002649,0.007739,0.007739,0.10587529976019185,0.11510791366906475,0.00288,6.5e-05
150,6.875,0.00263,0.00263,0.007611,0.007611,0.10511590727418064,0.11518784972022382,0.002882,6.75e-05
151,6.75,0.002651,0.002651,0.003692,0.003692,0.10595523581135093,0.11258992805755395,0.002817,7.2e-05
152,6.5,0.0026620000000000003,0.0026620000000000003,0.003547,0.003547,0.10639488409272582,0.11594724220623502,0.0029010000000000004,7.599999999999999e-05
153,6.25,0.0026609999999999997,0.0026609999999999997,0.003406,0.003406,0.10635491606714627,0.11622701838529176,0.002908,7.999999999999999e-05
154,6.0,0.0026579999999999998,0.0026579999999999998,0.0013189999999999999,0.0013189999999999999,0.10623501199040766,0.11626698641087131,0.002909,8.17e-05
155,5.4,0.0026550000000000002,0.0026550000000000002,0.001805,0.001805,0.10611510791366907,0.11626698641087131,0.002909,8.999999999999999e-05
156,5.0,0.002822,0.002822,0.002245,0.002245,0.11278976818545162,0.11634692246203038,0.002911,9.7e-05
157,4.7,0.002925,0.002925,0.001016,0.001016,0.11690647482014388,0.11634692246203038,0.002911,0.0001012
158,4.1,0.002853,0.002853,0.001466,0.001466,0.11402877697841726,0.1165867306155076,0.0029170000000000003,0.00010499999999999999
159,3.73,0.002636,0.002636,0.002179,0.002179,0.10535571542765787,0.11654676258992806,0.002916,0.000108
160,3.5,0.002666,0.002666,0.001547,0.001547,0.10655475619504397,0.11614708233413268,0.0029059999999999997,0.000113
161,3.2,0.0027530000000000002,0.0027530000000000002,0.0043619999999999996,0.0043619999999999996,0.11003197442046364,0.11398880895283772,0.002852,0.000116
162,3.1,0.0029059999999999997,0.0029059999999999997,0.004222999999999999,0.004222999999999999,0.11614708233413268,0.11718625099920064,0.002932,0.0001175
163,3.0,0.0030210000000000002,0.0030210000000000002,0.01378,0.01378,0.12074340527577938,0.11794564348521183,0.002951,0.00011899999999999999
164,2.97,0.002843,0.002843,0.0040420000000000005,0.0040420000000000005,0.1136290967226219,0.11306954436450839,0.002829,0.000122
165,2.87,0.002794,0.002794,0.0039030000000000002,0.0039030000000000002,0.11167066346922462,0.11750599520383692,0.00294,0.000143
166,2.77,0.0028,0.0028,0.003764,0.003764,0.11191047162270183,0.11850519584332533,0.0029649999999999998,0.00016999999999999999
167,2.67,0.002806,0.002806,0.003625,0.003625,0.11215027977617906,0.11626698641087131,0.002909,0.00017999999999999998
168,2.57,0.00281,0.00281,0.003486,0.003486,0.1123101518784972,0.11874500399680256,0.002971,0.00018769999999999998
169,2.47,0.002805,0.002805,0.0037259999999999997,0.0037259999999999997,0.11211031175059953,0.11854516386890487,0.002966,0.0001885
170,2.38,0.0027760000000000003,0.0027760000000000003,0.004045,0.004045,0.11095123900879297,0.12006394884092725,0.0030039999999999997,0.0001915
171,2.3,0.0027719999999999997,0.0027719999999999997,0.0034700000000000004,0.0034700000000000004,0.1107913669064748,0.11250999200639487,0.002815,0.000193
172,2.21,0.002798,0.002798,0.003332,0.003332,0.11183053557154277,0.11722621902478017,0.002933,0.000202
173,2.12,0.002813,0.002813,0.0023769999999999998,0.0023769999999999998,0.11243005595523581,0.11910471622701839,0.00298,0.0002074
174,2.0,0.002839,0.002839,0.004548,0.004548,0.11346922462030375,0.1191446842525979,0.0029809999999999997,0.0002095
175,1.94,0.00283,0.00283,0.0032920000000000002,0.0032920000000000002,0.11310951239008793,0.11994404476418866,0.003001,0.00021999999999999998
176,1.86,0.0028239999999999997,0.0028239999999999997,0.002797,0.002797,0.11286970423661069,0.11854516386890487,0.002966,0.00023999999999999998
177,1.77,0.002839,0.002839,0.002652,0.002652,0.11346922462030375,0.11958433253397283,0.0029920000000000003,0.000285
178,1.68,0.002869,0.002869,0.0025039999999999997,0.0025039999999999997,0.11466826538768984,0.1194644284572342,0.002989,0.000305
179,1.59,0.002893,0.002893,0.00236,0.00236,0.11562749800159873,0.12082334132693845,0.003023,0.0005499999999999999
180,1.5,0.002909,0.002909,0.0040490000000000005,0.0040490000000000005,0.11626698641087131,0.12178257394084731,0.003047,0.00067
181,1.45,0.0029219999999999997,0.0029219999999999997,0.003908,0.003908,0.11678657074340526,0.12062350119904076,0.003018,0.000683
182,1.4,0.002936,0.002936,0.003766,0.003766,0.11734612310151878,0.12218225419664268,0.003057,0.00095
183,1.35,0.0029519999999999998,0.0029519999999999998,0.003625,0.003625,0.11798561151079136,0.12266187050359713,0.003069,0.00115
184,1.3,0.002971,0.002971,0.0034850000000000003,0.0034850000000000003,0.11874500399680256,0.12302158273381295,0.003078,0.0015
185,1.25,0.0029879999999999998,0.0029879999999999998,0.006761,0.006761,0.11942446043165467,0.12306155075939247,0.0030789999999999997,0.00155
186,1.225,0.003001,0.003001,0.006622,0.006622,0.11994404476418866,0.12342126298960832,0.003088,0.0018
187,1.2,0.003015,0.003015,0.006483,0.006483,0.12050359712230214,0.12358113509192646,0.003092,0.0021999999999999997
188,1.175,0.00303,0.00303,0.006344,0.006344,0.1211031175059952,0.12366107114308553,0.003094,0.00225
189,1.15,0.003041,0.003041,0.015619999999999998,0.015619999999999998,0.1215427657873701,0.12402078337330137,0.0031030000000000003,0.0025
190,1.14,0.003048,0.003048,0.01548,0.01548,0.12182254196642685,0.12402078337330137,0.0031030000000000003,0.003
191,1.13,0.003055,0.003055,0.015340000000000001,0.015340000000000001,0.12210231814548361,0.12438049560351719,0.003112,0.00374
192,1.12,0.003062,0.003062,0.0152,0.0152,0.12238209432454036,0.12470023980815347,0.00312,0.0039
193,1.11,0.00307,0.00307,0.015059999999999999,0.015059999999999999,0.12270183852917665,0.12482014388489208,0.003123,0.005699999999999999
194,1.1,0.003078,0.003078,0.01493,0.01493,0.12302158273381295,0.12529976019184652,0.003135,0.008029999999999999
195,1.09,0.0030859999999999998,0.0030859999999999998,0.014790000000000001,0.014790000000000001,0.12334132693844922,0.12569944044764186,0.003145,0.0095
196,1.08,0.003095,0.003095,0.01465,0.01465,0.12370103916866507,0.12605915267785772,0.003154,0.013
197,1.07,0.003104,0.003104,0.014509999999999999,0.014509999999999999,0.1240607513988809,0.12657873701039168,0.003167,0.016999999999999998
198,1.06,0.003113,0.003113,0.014369999999999999,0.014369999999999999,0.12442046362909671,0.12737809752198243,0.003187,0.02
199,1.05,0.003123,0.003123,0.014230000000000001,0.014230000000000001,0.12482014388489208,0.12745803357314148,0.003189,0.03
200,1.04,0.003133,0.003133,0.0141,0.0141,0.12521982414068744,0.12929656274980017,0.003235,0.045
201,1.03,0.003144,0.003144,0.01396,0.01396,0.12565947242206235,0.11962430055955235,0.002993,0.049999999999999996
202,1.02,0.003156,0.003156,0.013819999999999999,0.013819999999999999,0.12613908872901677,0.12302158273381295,0.003078,0.052
203,1.01,0.003169,0.003169,0.013680000000000001,0.013680000000000001,0.12665867306155076,0.13061550759392487,0.003268,0.06
204,1.0,0.0031940000000000002,0.0031940000000000002,0.005377000000000001,0.005377000000000001,0.12765787370103918,0.13261390887290167,0.0033179999999999998,0.073
205,0.975,0.0032329999999999998,0.0032329999999999998,0.00524,0.00524,0.12921662669864106,0.1337330135891287,0.003346,0.075
206,0.95,0.003278,0.003278,0.005102000000000001,0.005102000000000001,0.13101518784972022,0.1367306155075939,0.003421,0.08199999999999999
207,0.925,0.0033299999999999996,0.0033299999999999996,0.004965,0.004965,0.1330935251798561,0.1376099120703437,0.003443,0.08499999999999999
208,0.9,0.0034219999999999997,0.0034219999999999997,0.002379,0.002379,0.13677058353317345,0.12354116706634692,0.003091,0.09999999999999999
209,0.85,0.0035810000000000004,0.0035810000000000004,0.002242,0.002242,0.14312549960031976,0.12553956834532373,0.003141,0.1283
210,0.8,0.0038009999999999997,0.0038009999999999997,0.002105,0.002105,0.15191846522781774,0.13205435651478817,0.003304,0.149
211,0.75,0.00412,0.00412,0.0019690000000000003,0.0019690000000000003,0.16466826538768986,0.13145483613109513,0.0032890000000000003,0.19999999999999998
212,0.7,0.004573,0.004573,0.001832,0.001832,0.18277378097521982,0.12414068745003996,0.003106,0.26999999999999996
213,0.65,0.00502,0.00502,0.003462,0.003462,0.2006394884092726,0.12513988808952836,0.0031309999999999997,0.32999999999999996
214,0.625,0.0054009999999999996,0.0054009999999999996,0.003325,0.003325,0.2158673061550759,0.13545163868904875,0.003389,0.39999999999999997
215,0.6,0.006114,0.006114,0.00156,0.00156,0.24436450839328536,0.14056754596322943,0.003517,0.42
